filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
commercial/3x3/commercialBuilding3-09.png,success,1254,1254,1115,955,1024,1024,1.0,1.0,,,True,0.7617,0.6683,0.6445,0.6564,0.0238,,-0.5105,0.4923,0.5014,0.0182,0.5105,0.4923,bottom-scan-10pct+virtual,"(895,832)","(127,835)","(515,1026)",output/modified4/commercial/3x3/commercialBuilding3-09.png,
commercial/3x3/commercialBuilding3-10.png,success,1254,1254,1254,1006,1024,1024,1.0,1.0,,,True,0.8022,0.6404,0.6062,0.6233,0.0342,,-0.5137,0.488,0.5009,0.0257,0.5137,0.488,bottom-scan-10pct+virtual,"(903,839)","(121,822)","(539,1026)",output/modified4/commercial/3x3/commercialBuilding3-10.png,
commercial/3x3/commercialBuilding3-11.png,success,1209,1300,1209,1146,1024,1024,1.0,1.0,,,True,0.8817,0.5294,0.6047,0.5671,0.0753,,-0.4679,0.5326,0.5002,0.0647,0.4679,0.5326,bottom-scan-10pct+virtual,"(929,844)","(110,797)","(540,1026)",output/modified4/commercial/3x3/commercialBuilding3-11.png,
commercial/4x4/commercialBuilding4-01-highScore.png,success,1254,1254,1211,950,1024,1024,1.0,1.0,,,True,0.7577,0.6599,0.6598,0.6599,0.0001,,-0.5013,0.5,0.5007,0.0013,0.5013,0.5,bottom-scan-10pct+virtual,"(900,798)","(155,799)","(527,985)",output/modified4/commercial/4x4/commercialBuilding4-01-highScore.png,
commercial/4x4/commercialBuilding4-02-highScore.png,success,1254,1254,1254,1031,1024,1024,1.0,1.0,,,True,0.905,0.5532,0.5519,0.5525,0.0013,,-0.4974,0.5,0.4987,0.0026,0.4974,0.5,bottom-scan-10pct+virtual,"(904,803)","(120,802)","(512,998)",output/modified4/commercial/4x4/commercialBuilding4-02-highScore.png,
government/1x1/policeStation1.png,success,1254,1254,1254,994,1024,1024,1.0,1.0,,,True,0.7928,0.6354,0.626,0.6307,0.0094,,-0.5038,0.495,0.4994,0.0088,0.5038,0.495,bottom-scan-10pct+virtual,"(907,752)","(114,750)","(516,949)",output/modified4/government/1x1/policeStation1.png,
government/1x1/schoolHall1.png,success,1254,1254,1254,1075,1024,1024,1.0,1.0,,,True,0.8575,0.616,0.5502,0.5831,0.0658,,-0.5257,0.4706,0.4981,0.0551,0.5257,0.4706,bottom-scan-10pct+virtual,"(911,757)","(111,788)","(502,972)",output/modified4/government/1x1/schoolHall1.png,
government/2x2/fireStation2-01.png,success,1254,1254,1254,952,1024,1024,1.0,1.0,,,True,0.7899,0.656,0.61,0.633,0.046,,-0.5181,0.4808,0.4995,0.0373,0.5181,0.4808,bottom-scan-10pct+virtual,"(911,791)","(109,764)","(552,977)",output/modified4/government/2x2/fireStation2-01.png,
government/2x2/firestation2-02.png,success,1254,1254,1254,1053,1024,1024,1.0,1.0,,,True,0.8666,0.6009,0.5531,0.577,0.0478,,-0.5198,0.4806,0.5002,0.0392,0.5198,0.4806,bottom-scan-10pct+virtual,"(907,801)","(116,800)","(528,998)",output/modified4/government/2x2/firestation2-02.png,
government/2x2/legistrativeCouncil2-01.png,success,1254,1254,1254,1069,1024,1024,1.0,1.0,,,True,0.8962,0.5655,0.5504,0.5579,0.0151,,-0.5064,0.4914,0.4989,0.015,0.5064,0.4914,bottom-scan-10pct+virtual,"(911,799)","(113,799)","(518,998)",output/modified4/government/2x2/legistrativeCouncil2-01.png,
government/2x2/library2-01.png,success,1254,1254,1254,919,1024,1024,1.0,1.0,,,True,0.7326,0.6977,0.6673,0.6825,0.0304,,-0.5117,0.4889,0.5003,0.0228,0.5117,0.4889,bottom-scan-10pct+virtual,"(908,729)","(118,728)","(523,926)",output/modified4/government/2x2/library2-01.png,
government/2x2/policeStation2-01.png,success,1254,1254,1254,1069,1024,1024,1.0,1.0,,,True,0.8527,0.5849,0.5879,0.5864,0.003,,-0.5013,0.5026,0.502,0.0013,0.5013,0.5026,bottom-scan-10pct+virtual,"(902,748)","(123,747)","(513,943)",output/modified4/government/2x2/policeStation2-01.png,
government/2x2/policeStation2-02.png,success,1254,1254,1254,850,1024,1024,1.0,1.0,,,True,0.7529,0.6569,0.6713,0.6641,0.0144,,-0.4936,0.5049,0.4992,0.0113,0.4936,0.5049,bottom-scan-10pct+virtual,"(911,742)","(112,729)","(520,935)",output/modified4/government/2x2/policeStation2-02.png,
