filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
residential3-01.PNG,success,1199,1113,1199,1000,1024,1024,1.0,1.0,26.84,0.9883,True,0.8981,0.5556,0.5579,0.5567,0.0023,,-0.5,0.5013,0.5007,0.0013,0.5,0.5013,bottom-scan-10pct+virtual,"(911,817)","(112,817)","(511,1017)",output/fixed/residential/house3x3/residential3-01_fixed.png,
residential3-02.png,success,1254,1254,1254,1126,1024,1024,1.0,1.0,26.1,1.0204,True,0.8991,0.5609,0.5514,0.5561,0.0095,,-0.5013,0.4949,0.4981,0.0064,0.5013,0.4949,bottom-scan-10pct+virtual,"(904,817)","(119,816)","(515,1012)",output/fixed/residential/house3x3/residential3-02_fixed.png,
residential3-03.PNG,success,1184,1145,1184,988,1024,1024,1.0,1.0,26.06,1.0223,True,0.8625,0.5917,0.5677,0.5797,0.024,,-0.5113,0.49,0.5007,0.0213,0.5113,0.49,bottom-scan-10pct+virtual,"(911,814)","(112,820)","(514,1017)",output/fixed/residential/house3x3/residential3-03_fixed.png,
residential3-04-highScore.PNG,success,1160,1203,1160,1110,1024,1024,1.0,1.0,26.2,1.0162,True,0.9225,0.5446,0.5395,0.542,0.0051,,-0.5013,0.4975,0.4994,0.0038,0.5013,0.4975,bottom-scan-10pct+virtual,"(911,818)","(112,817)","(514,1017)",output/fixed/residential/house3x3/residential3-04-highScore_fixed.png,
residential3-05-highScore.PNG,success,752,470,752,416,1024,1024,1.0,1.0,26.56,1.0004,True,0.8842,0.5963,0.5348,0.5655,0.0615,,-0.5259,0.4715,0.4987,0.0544,0.5259,0.4715,bottom-scan-10pct+virtual,"(804,875)","(218,868)","(534,1017)",output/fixed/residential/house3x3/residential3-05-highScore_fixed.png,
