filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
commercialBuilding1-01.png,success,1254,1254,1205,1224,512,512,1.0,1.0,26.91,0.985,True,0.9891,0.5088,0.5022,0.5055,0.0066,,-0.5053,0.5,0.5027,0.0053,0.5053,0.5,bottom-scan-10pct+virtual,"(444,398)","(66,398)","(256,493)",output/fixed/commercial/1x1/commercialBuilding1-01_fixed.png,
commercialBuilding1-02.png,success,1254,1254,1254,1069,512,512,1.0,1.0,26.0,1.0253,True,0.8524,0.572,0.6013,0.5866,0.0293,,-0.4874,0.513,0.5002,0.0256,0.4874,0.513,bottom-scan-10pct+virtual,"(452,387)","(60,385)","(253,484)",output/fixed/commercial/1x1/commercialBuilding1-02_fixed.png,
commercialBuilding1-03.png,success,1004,1004,757,964,512,512,1.0,1.0,27.5,0.9606,False,,0.233,0.4217,0.3274,0.1887,left/right difference 0.1887 exceeds 0.1000,-0.2267,0.4597,0.3432,0.233,0.2267,0.4597,bottom-scan-10pct+virtual,"(403,456)","(107,438)","(231,495)",output/fixed/commercial/1x1/commercialBuilding1-03_fixed.png,
commercialBuilding1-04.PNG,success,368,415,368,404,512,512,1.0,1.0,26.56,1.0004,True,0.9733,0.5274,0.5,0.5137,0.0274,,-0.5137,0.4892,0.5015,0.0245,0.5137,0.4892,bottom-scan-10pct+virtual,"(398,431)","(113,438)","(252,506)",output/fixed/commercial/1x1/commercialBuilding1-04_fixed.png,
