filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
park2-02.png,success,1774,916,1597,935,800,600,1.0,1.0,26.56,1.0001,True,1.021,0.4869,0.4925,0.4897,0.0056,,-0.4984,0.5017,0.5,0.0033,0.4984,0.5017,bottom-scan-10pct+virtual,"(703,429)","(95,429)","(398,581)",output/fixed/parks/park2x2/park2-02_fixed.png,
park2-03-highScore.png,success,1254,1254,1254,796,800,600,1.0,1.0,26.79,0.9902,True,0.7696,0.6534,0.646,0.6497,0.0074,,-0.5016,0.4968,0.4992,0.0048,0.5016,0.4968,bottom-scan-10pct+virtual,"(705,353)","(92,353)","(400,506)",output/fixed/parks/park2x2/park2-03-highScore_fixed.png,
sportField3-02.png,success,1254,1254,1254,901,800,600,1.0,1.0,26.16,1.0181,True,0.7183,0.6854,0.7068,0.6961,0.0214,,-0.4906,0.5066,0.4986,0.016,0.4906,0.5066,bottom-scan-10pct+virtual,"(709,361)","(89,364)","(391,517)",output/fixed/parks/park2x2/sportField3-02_fixed.png,
