filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
commercialBuilding2-01.PNG,success,441,396,441,374,800,800,1.0,1.0,26.52,1.0018,True,0.9439,0.5167,0.5427,0.5297,0.026,,-0.4889,0.5152,0.502,0.0263,0.4889,0.5152,bottom-scan-10pct+virtual,"(571,706)","(226,709)","(391,794)",output/fixed/commercial/2x2/commercialBuilding2-01_fixed.png,
commercialBuilding2-02.png,success,1254,1254,1254,772,800,800,1.0,1.0,26.38,1.0083,True,0.9171,0.5456,0.5447,0.5452,0.0009,,-0.5016,0.4968,0.4992,0.0048,0.5016,0.4968,bottom-scan-10pct+virtual,"(708,623)","(93,624)","(401,777)",output/fixed/commercial/2x2/commercialBuilding2-02_fixed.png,
commercialBuilding2-03.png,success,1254,1254,1254,1131,800,800,1.0,1.0,26.6,0.9986,True,0.9016,0.5546,0.5546,0.5546,0.0,,-0.5017,0.5,0.5009,0.0017,0.5017,0.5,bottom-scan-10pct+virtual,"(692,619)","(107,620)","(399,766)",output/fixed/commercial/2x2/commercialBuilding2-03_fixed.png,
commercialBuilding2-04.png,success,1254,1254,1254,934,800,800,1.0,1.0,26.54,1.001,True,0.8005,0.6234,0.6258,0.6246,0.0024,,-0.5016,0.5032,0.5024,0.0016,0.5016,0.5032,bottom-scan-10pct+virtual,"(707,626)","(90,622)","(402,779)",output/fixed/commercial/2x2/commercialBuilding2-04_fixed.png,
commercialBuilding2-05.PNG,success,486,496,486,427,800,800,1.0,1.0,27.04,0.9798,True,0.8603,0.5967,0.5657,0.5812,0.031,,-0.5138,0.4899,0.5019,0.0239,0.5138,0.4899,bottom-scan-10pct+virtual,"(589,698)","(210,694)","(408,791)",output/fixed/commercial/2x2/commercialBuilding2-05_fixed.png,
commercialBuilding2-06.png,success,1254,1254,944,1066,800,800,1.0,1.0,26.28,1.0125,True,0.8615,0.5862,0.5746,0.5804,0.0116,,-0.5057,0.4981,0.5019,0.0076,0.5057,0.4981,bottom-scan-10pct+virtual,"(663,644)","(137,644)","(402,776)",output/fixed/commercial/2x2/commercialBuilding2-06_fixed.png,
commercialBuilding2-07.PNG,success,455,592,455,500,800,800,1.0,1.0,27.19,0.9733,True,0.8453,0.6154,0.5676,0.5915,0.0478,,-0.5207,0.4811,0.5009,0.0396,0.5207,0.4811,bottom-scan-10pct+virtual,"(576,703)","(222,702)","(407,791)",output/fixed/commercial/2x2/commercialBuilding2-07_fixed.png,
