filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
house1-01.png,success,973,700,973,680,512,512,1.0,1.0,27.68,0.9532,True,0.9709,0.5385,0.4915,0.515,0.047,,-0.5202,0.4731,0.4967,0.0471,0.5202,0.4731,bottom-scan-10pct+virtual,"(446,394)","(62,409)","(248,497)",output/fixed/residential/house1x1/house1-01_fixed.png,
house1-02.png,success,1216,875,1211,937,512,512,1.0,1.0,27.95,0.9422,True,1.0762,0.437,0.4921,0.4646,0.0551,,-0.4925,0.5266,0.5095,0.0341,0.4925,0.5266,bottom-scan-10pct+virtual,"(448,399)","(61,398)","(249,497)",output/fixed/residential/house1x1/house1-02_fixed.png,
house1-03.png,success,980,706,907,694,512,512,1.0,1.0,26.77,0.9912,True,0.9825,0.5088,0.5089,0.5089,0.0001,,-0.5,0.5,0.5,0.0,0.5,0.5,bottom-scan-10pct+virtual,"(445,401)","(61,401)","(253,497)",output/fixed/residential/house1x1/house1-03_fixed.png,
house1-04-highScore.PNG,success,532,370,532,320,512,512,1.0,1.0,26.92,0.9846,True,0.8646,0.5845,0.5721,0.5783,0.0124,,-0.5,0.4925,0.4962,0.0075,0.5,0.4925,bottom-scan-10pct+virtual,"(455,405)","(54,406)","(255,505)",output/fixed/residential/house1x1/house1-04-highScore_fixed.png,
house1-05-highScore.PNG,success,1199,1069,1199,969,512,512,1.0,1.0,26.83,0.9885,True,0.9069,0.5539,0.5487,0.5513,0.0052,,-0.5,0.4948,0.4974,0.0052,0.5,0.4948,bottom-scan-10pct+virtual,"(455,399)","(55,406)","(249,502)",output/fixed/residential/house1x1/house1-05-highScore_fixed.png,
house1-06.PNG,success,1182,1211,1182,1149,512,512,1.0,1.0,26.53,1.0017,True,0.9484,0.5274,0.5269,0.5272,0.0005,,-0.5,0.5,0.5,0.0,0.5,0.5,bottom-scan-10pct+virtual,"(455,405)","(55,403)","(257,504)",output/fixed/residential/house1x1/house1-06_fixed.png,
