filename,status,original_width,original_height,processed_width,processed_height,final_width,final_height,scale_x,scale_y,detected_angle,suggested_scale_y,iso_auto_scale_applied,iso_auto_scale_y,iso_pre_right_ratio,iso_pre_left_ratio,iso_pre_avg_ratio,iso_pre_side_diff,iso_align_skipped_reason,iso_right_ratio,iso_left_ratio,iso_avg_ratio,iso_side_diff,iso_right_abs_ratio,iso_left_abs_ratio,iso_measurement_method,iso_right_point,iso_left_point,iso_bottom_point,output_path,error
industrialBuilding3-01.png,success,1024,1024,1024,712,1024,1024,1.0,1.0,26.98,0.9821,True,1.0034,0.5068,0.4897,0.4983,0.0171,,-0.496,0.4977,0.4969,0.0017,0.496,0.4977,bottom-scan-10pct+virtual,"(911,837)","(112,810)","(538,1022)",output/fixed/industrial/3x3/industrialBuilding3-01_fixed.png,
industrialBuilding3-02.png,success,1254,1254,1254,816,1024,1024,1.0,1.0,26.96,0.9829,True,0.7413,0.6992,0.6499,0.6745,0.0493,,-0.5169,0.4803,0.4986,0.0366,0.5169,0.4803,bottom-scan-10pct+virtual,"(906,801)","(115,805)","(521,1000)",output/fixed/industrial/3x3/industrialBuilding3-02_fixed.png,
sciencePark3-01.png,success,1254,1254,1254,1053,1024,1024,1.0,1.0,26.18,1.0171,True,0.8399,0.6021,0.5884,0.5953,0.0137,,-0.5026,0.4911,0.4969,0.0115,0.5026,0.4911,bottom-scan-10pct+virtual,"(904,694)","(119,698)","(512,891)",output/fixed/industrial/3x3/sciencePark3-01_fixed.png,
sciencePark3-02.PNG,success,948,704,948,571,1024,1024,1.0,1.0,26.32,1.0109,True,0.8104,0.6168,0.6173,0.617,0.0005,,-0.4973,0.4987,0.498,0.0014,0.4973,0.4987,bottom-scan-10pct+virtual,"(881,834)","(142,832)","(513,1017)",output/fixed/industrial/3x3/sciencePark3-02_fixed.png,
